THIS IS A QUICK TEST CASE

Test Case quick:    This is just to run the test quickly to see if the devices are responding


Testing at 1 sec
For duration 5 seconds or 0.083 min
sent/received   athlete   time              sentCntr    recCntr

sent            1         1509808870.12     1           0
sent            2         1509808870.12     1           0
received        1         1509808870.25     1           1
received        2         1509808870.27     1           1
sent            1         1509808871.12     2           1
sent            2         1509808871.12     2           1
received        2         1509808871.18     2           2
received        1         1509808871.4     2           2
sent            1         1509808872.12     3           2
sent            2         1509808872.12     3           2
received        1         1509808872.3     3           3
received        2         1509808872.31     3           3
sent            1         1509808873.12     4           3
sent            2         1509808873.12     4           3
received        1         1509808873.18     4           4
received        2         1509808873.32     4           4

Test Case quick done


THIS IS A NEW TEST CASE

Test Case X:    description can go here


Testing at 2.0 sec
For duration 1 min
sent/received   athlete   time              sentCntr    recCntr

sent            1         1509808951.55     1           0
sent            2         1509808951.55     1           0
received        1         1509808952.4     1           1
received        2         1509808953.33     1           1
sent            1         1509808953.55     2           1
sent            2         1509808953.55     2           1
received        2         1509808953.72     2           2
received        1         1509808953.84     2           2
sent            1         1509808955.55     3           2
sent            2         1509808955.55     3           2
received        2         1509808955.64     3           3
received        1         1509808955.68     3           3
sent            1         1509808957.55     4           3
sent            2         1509808957.55     4           3
received        1         1509808957.61     4           4
received        2         1509808957.64     4           4
sent            1         1509808959.55     5           4
sent            2         1509808959.55     5           4
received        2         1509808959.85     5           5
sent            1         1509808961.55     6           4
sent            2         1509808961.55     6           5
received        1         1509808962.09     6           5
sent            1         1509808963.55     7           5
sent            2         1509808963.55     7           5
received        1         1509808963.61     7           6
received        2         1509808963.74     7           6
sent            1         1509808965.55     8           6
sent            2         1509808965.55     8           6
received        2         1509808965.63     8           7
received        1         1509808965.64     8           7
sent            1         1509808967.55     9           7
sent            2         1509808967.55     9           7
received        2         1509808967.66     9           8
received        1         1509808967.85     9           8
sent            1         1509808969.55     10           8
sent            2         1509808969.55     10           8
received        2         1509808969.91     10           9
sent            1         1509808971.55     11           8
sent            2         1509808971.55     11           9
received        2         1509808971.67     11           10
received        1         1509808973.02     11           9
sent            1         1509808973.55     12           9
sent            2         1509808973.55     12           10
sent            1         1509808975.55     13           9
sent            2         1509808975.55     13           10
received        2         1509808976.13     13           11
sent            1         1509808977.55     14           9
sent            2         1509808977.55     14           11
received        1         1509808977.7     14           10
sent            1         1509808979.55     15           10
sent            2         1509808979.55     15           11
received        1         1509808979.61     15           11
received        2         1509808981.14     15           12
sent            1         1509808981.55     16           11
sent            2         1509808981.55     16           12
received        2         1509808981.72     16           13
received        1         1509808981.73     16           12
sent            1         1509808983.55     17           12
sent            2         1509808983.55     17           13
received        1         1509808983.63     17           13
received        2         1509808983.72     17           14
sent            1         1509808985.56     18           13
sent            2         1509808985.56     18           14
received        1         1509808985.67     18           14
received        2         1509808985.73     18           15
sent            1         1509808987.56     19           14
sent            2         1509808987.56     19           15
sent            1         1509808989.56     20           14
sent            2         1509808989.56     20           15
received        1         1509808990.18     20           15
sent            1         1509808991.56     21           15
sent            2         1509808991.56     21           15
sent            1         1509808993.56     22           15
sent            2         1509808993.56     22           15
received        2         1509808994.13     22           16
sent            1         1509808995.56     23           15
sent            2         1509808995.56     23           16
received        2         1509808995.74     23           17
sent            1         1509808997.56     24           15
sent            2         1509808997.56     24           17
received        2         1509808997.71     24           18
sent            1         1509808999.56     25           15
sent            2         1509808999.56     25           18
received        2         1509808999.65     25           19
received        1         1509809000.11     25           16
sent            1         1509809001.56     26           16
sent            2         1509809001.56     26           19
received        2         1509809001.63     26           20
received        1         1509809001.65     26           17
sent            1         1509809003.56     27           17
sent            2         1509809003.56     27           20
received        2         1509809003.68     27           21
received        1         1509809003.69     27           18
sent            1         1509809005.56     28           18
sent            2         1509809005.56     28           21
received        2         1509809005.68     28           22
sent            1         1509809007.56     29           18
sent            2         1509809007.56     29           22
received        2         1509809007.68     29           23
received        1         1509809009.26     29           19

Testing at 1.0 sec
For duration 1 min
sent/received   athlete   time              sentCntr    recCntr

sent            1         1509809010.55     1           0
sent            2         1509809010.55     1           0
received        2         1509809010.92     1           1
sent            1         1509809011.55     2           0
sent            2         1509809011.55     2           1
